abs(number)                 返回数字的绝对值
cmath.sqrt(number)          返回平方根， 也可以应用与负数
float(object)               将字符串和数字转换为浮点数
help()                      提供交互式帮助
input(prompt)               获取用户输入
int(object)                 将字符串和数字转换为整数
long(object)                将字符串和数字转换为长整数
math.ceil(number)           返回数的上入整数，返回值的类型为浮点数
math.floor(number)          返回数的下舍整数，返回值的类型为浮点数
math.sqrt(number)           返回平方根,不适用与负数
pow(x, y[, z])              返回x的y次幂（所得结果对z取模）
raw_input(prompt)           返回用户输入，返回的类型为字符串
repr(object)                返回值的字符串表示形式
round(number[, ndigits])    根据给定的进度对数字进行四舍五入
str(object)                 将值转换为字符串
